load_ratio,speed_ratio,T_amb_C,mode_op,E_total_kWh,E_loss_kWh,P_peak_kW,P_std_kW,T_end_C,throughput_idx,E_per_throughput,opt_note
1,0.7,-20,0,0.380114363018046,0.146912059395525,27.0287577727617,8.86019944773064,-17.3866276475783,0.7,0.543020518597209,tempManagement(k_eta down)+extraAux+smooth
1,0.7,-16.3157894736842,0,0.37961999157182,0.146417687949298,26.9915969532447,8.84456219348468,-13.7112144953369,0.7,0.542314273674029,tempManagement(k_eta down)+extraAux+smooth
1,0.7,-12.6315789473684,0,0.379127359993984,0.145925056371462,26.9545671968918,8.82897997210323,-10.0357703823163,0.7,0.54161051427712,tempManagement(k_eta down)+extraAux+smooth
1,0.7,-8.94736842105263,0,0.378636459126782,0.14543415550426,26.9176678117716,8.81345249392306,-6.3602954714758,0.7,0.540909227323975,tempManagement(k_eta down)+extraAux+smooth
1,0.7,-5.26315789473684,0,0.37814727987654,0.144944976254018,26.8808981108134,8.79797947130781,-2.68478992463415,0.7,0.540210399823629,tempManagement(k_eta down)+extraAux+smooth
1,0.7,-1.57894736842105,0,0.377659813213102,0.14445750959058,26.8442574117643,8.7825606186303,0.990746097520099,0.7,0.53951401887586,tempManagement(k_eta down)+extraAux+smooth
1,0.7,2.10526315789474,0,0.377174050169282,0.14397174654676,26.8077450371474,8.76719565225505,4.66631243541889,0.7,0.538820071670402,tempManagement(k_eta down)+extraAux+smooth
1,0.7,5.78947368421053,0,0.376689981840313,0.143487678217791,26.7713603142197,8.75188429052098,8.34190893060491,0.7,0.538128545486162,tempManagement(k_eta down)+extraAux+smooth
1,0.7,9.47368421052632,0,0.37620759938331,0.143005295760788,26.735102574931,8.73662625372426,12.0175354257219,0.7,0.537439427690443,tempManagement(k_eta down)+extraAux+smooth
1,0.7,13.1578947368421,0,0.375726894016728,0.142524590394206,26.698971155883,8.72142126410135,15.6931917645053,0.7,0.536752705738183,tempManagement(k_eta down)+extraAux+smooth
1,0.7,16.8421052631579,0,0.375247857019837,0.142045553397315,26.6629653982892,8.70626904581227,19.3688777917725,0.7,0.536068367171196,tempManagement(k_eta down)+extraAux+smooth
1,0.7,20.5263157894737,0,0.374770479732195,0.141568176109673,26.6270846479345,8.69116932492395,23.0445933534138,0.7,0.535386399617421,tempManagement(k_eta down)+extraAux+smooth
1,0.7,24.2105263157895,0,0.37445676640407,0.141239945909985,26.6002506996968,8.62453224227167,26.7229691519707,0.7,0.5349382377201,tempManagement(k_eta down)+extraAux+smooth
1,0.7,27.8947368421053,0,0.374893911415842,0.14169160779332,26.6361764176971,8.69508754402317,30.415227659236,0.7,0.53556273059406,tempManagement(k_eta down)+extraAux+smooth
1,0.7,31.5789473684211,0,0.375372830777849,0.142170527155328,26.6721717579268,8.71023614215526,34.1079607149901,0.7,0.536246901111213,tempManagement(k_eta down)+extraAux+smooth
1,0.7,35.2631578947368,0,0.375853423749161,0.142651120126639,26.7082931410963,8.72543767815282,37.8007235534575,0.7,0.536933462498801,tempManagement(k_eta down)+extraAux+smooth
1,0.7,38.9473684210526,0,0.376335699128198,0.143133395505676,26.7445412317262,8.74069243032071,41.4935163312127,0.7,0.537622427325997,tempManagement(k_eta down)+extraAux+smooth
1,0.7,42.6315789473684,0,0.376819665775234,0.143617362152712,26.7809166990257,8.75600067892037,45.1863392059306,0.7,0.538313808250334,tempManagement(k_eta down)+extraAux+smooth
1,0.7,46.3157894736842,0,0.377305332612942,0.14410302899042,26.8174202169346,8.77136270618696,48.8791923363969,0.7,0.539007618018489,tempManagement(k_eta down)+extraAux+smooth
1,0.7,50,0,0.377792708626945,0.144590405004424,26.8540524641648,8.7867787963469,52.5720758825173,0.7,0.539703869467065,tempManagement(k_eta down)+extraAux+smooth
