load_ratio,speed_ratio,T_amb_C,mode_op,E_total_kWh,E_loss_kWh,P_peak_kW,P_std_kW,T_end_C,throughput_idx,E_per_throughput,opt_note,mode_req,mode_applied
1,0.7,25,0,0.409540731292765,0.132650722540291,25.6431154204622,8.74158973275255,27.3598671436735,0.7,0.585058187561093,operatorTraining(enforceSmooth),0,0
1,0.7,25,0,0.409540731292765,0.132650722540291,25.6431154204622,8.74158973275255,27.3598671436735,0.7,0.585058187561093,operatorTraining(enforceSmooth),1,0
