load_ratio,speed_ratio,T_amb_C,mode_op,E_total_kWh,E_loss_kWh,P_peak_kW,P_std_kW,T_end_C,throughput_idx,E_per_throughput,opt_note
1,0.4,25,1,0.269696120593721,0.11147325844945,16.7909683960743,4.99407851095724,26.9829593915746,0.4,0.674240301484303,
1,0.431578947368421,25,1,0.28441367332543,0.113699532590821,17.7224123025593,5.38847441497459,27.0225815010258,0.431578947368421,0.659007291851606,
1,0.463157894736842,25,1,0.299131915384108,0.115926496059163,18.6539410352998,5.7828888778186,27.0622159252236,0.463157894736842,0.645852999124779,
1,0.494736842105263,25,1,0.3138508470486,0.118154149133317,19.5855546442946,6.17732190761453,27.1018626691607,0.494736842105263,0.634379371693978,
1,0.526315789473684,25,1,0.328570468597905,0.120382492092285,20.5172531795788,6.5717735124929,27.1415217378328,0.526315789473684,0.624283890336019,
1,0.557894736842105,25,1,0.343290780311179,0.122611525215222,21.449036691224,6.96624370058943,27.1811931362382,0.557894736842105,0.615332530746453,
1,0.589473684210526,25,1,0.358011782467735,0.12484124878144,22.3809052293378,7.36073248004514,27.2208768693782,0.589473684210526,0.607341416686335,
1,0.621052631578947,25,1,0.372733475347041,0.127071663070409,23.3128588440645,7.75523985900626,27.2605729422567,0.621052631578947,0.600164070474048,
1,0.652631578947368,25,1,0.387455859228722,0.129302768361753,24.2448975855846,8.14976584562432,27.3002813598807,0.652631578947368,0.593682364947236,
1,0.684210526315789,25,1,0.402178934392562,0.131534564935256,25.1770215041152,8.54431044805609,27.3400021272596,0.684210526315789,0.587799981035282,
1,0.715789473684211,25,1,0.416902701118498,0.133767053070854,26.1092306499098,8.93887367446363,27.379735249406,0.715789473684211,0.582437597150842,
1,0.747368421052632,25,1,0.431627159686626,0.136000233048646,27.0415250732584,9.33345553301425,27.4194807313351,0.747368421052632,0.577529298172246,
1,0.778947368421053,25,1,0.446352310377199,0.138234105148882,27.9739048244876,9.72805603188057,27.4592385780649,0.778947368421053,0.573019857916675,
1,0.810526315789474,25,1,0.461078153470628,0.140468669651973,28.9063699539606,10.1226751792405,27.4990087946164,0.810526315789474,0.568862656879346,
1,0.842105263157895,25,1,0.475804689247479,0.142703926838488,29.8389205120771,10.5173129832771,27.5387913860132,0.842105263157895,0.565018068481382,
1,0.873684210526316,25,1,0.490531917988478,0.144939876989149,30.7715565492736,10.911969452179,27.5785863572819,0.873684210526316,0.561452195288017,
1,0.905263157894737,25,1,0.505259839974506,0.147176520384839,31.7042781160232,11.3066445941398,27.6183937134518,0.905263157894737,0.55813586973928,
1,0.936842105263158,25,1,0.519988455486603,0.1494138573066,32.6370852628356,11.7013384173588,27.6582134595551,0.936842105263158,0.555043856980082,
1,0.968421052631579,25,1,0.534717764805967,0.151651888035626,33.5699780402575,12.0960509300401,27.6980456006268,0.968421052631579,0.552154213658336,
1,1,25,1,0.549447768213954,0.153890612853276,34.5029564988723,12.4907821403936,27.7378901417048,1,0.549447768213954,
