load_ratio,speed_ratio,T_amb_C,mode_op,E_total_kWh,E_loss_kWh,P_peak_kW,P_std_kW,T_end_C,throughput_idx,E_per_throughput,opt_note
0,0.7,25,1,0.0833333333333333,0.0833333333333333,5,0,26.4821431401307,0.7,0.119047619047619,
0.3,0.7,25,1,0.165719452946738,0.0957617485332244,11.1863830941861,2.65745017622548,26.7033164755352,0.7,0.236742075638197,
1,0.7,25,1,0.358037720827406,0.12484537278236,25.6321283648187,8.86088010856033,27.2208871343268,0.7,0.511482458324865,
1.2,0.7,25,1,0.413007459828123,0.133176642174068,29.7622854083651,10.6339882900444,27.3691512310557,0.7,0.590010656897318,
