load_ratio,speed_ratio,T_amb_C,mode_op,E_total_kWh,E_loss_kWh,P_peak_kW,P_std_kW,T_end_C,throughput_idx,E_per_throughput,opt_note
1,0.7,-20,1,0.426724694055948,0.149834685303474,26.7348918769773,8.86752431663624,-17.3343797129697,0.7,0.609606705794212,
1,0.7,-16.3157894736842,1,0.425168730325617,0.148278721573143,26.6359253422706,8.82734447001659,-13.6778597050915,0.7,0.607383900465167,
1,0.7,-12.6315789473684,1,0.423626751291512,0.146736742539037,26.537855672887,8.78752575271615,-10.0210908288865,0.7,0.605181073273588,
1,0.7,-8.94736842105263,1,0.42209856995663,0.145208561204156,26.4406707364423,8.74806333568607,-6.36407641194628,0.7,0.602997957080901,
1,0.7,-5.26315789473684,1,0.420584002630776,0.143693993878302,26.344358618325,8.70895247528273,-2.70681972302175,0.7,0.600834289472537,
1,0.7,-1.57894736842105,1,0.419082868858054,0.14219286010558,26.2489076168334,8.67018851139474,0.950676026686525,0.7,0.598689812654363,
1,0.7,2.10526315789474,1,0.417594991346262,0.140704982593788,26.1543062384428,8.6317668656189,4.6084076822722,0.7,0.596564273351803,
1,0.7,5.78947368421053,1,0.416120195898112,0.139230187145638,26.0605431931976,8.59368303948353,8.26637214389944,0.7,0.594457422711589,
1,0.7,9.47368421052632,1,0.414658311344237,0.137768302591762,25.9676073902262,8.55593261271779,11.9245663656108,0.7,0.592369016206052,
1,0.7,13.1578947368421,1,0.413209169477916,0.136319160725441,25.8754879333732,8.51851124156567,15.5829873541661,0.7,0.59029881353988,
1,0.7,16.8421052631579,1,0.411772604991487,0.134882596239012,25.7841741169464,8.48141465714319,19.2416321679107,0.7,0.588246578559267,
1,0.7,20.5263157894737,1,0.41034845541437,0.133458446661896,25.6936554215744,8.44463866383766,22.9004979156728,0.7,0.586212079163386,
1,0.7,24.2105263157895,1,0.409160711371902,0.13241536896628,25.6231075160064,8.36607680693542,26.5667049288539,0.7,0.584515301959859,
1,0.7,27.8947368421053,1,0.410660881113466,0.133770872360992,25.7143213274672,8.4527969657155,30.2745395912771,0.7,0.586658401590666,
1,0.7,31.5789473684211,1,0.412097740288615,0.13520773153614,25.8056654198618,8.48990294100108,33.984322290346,0.7,0.588711057555164,
1,0.7,35.2631578947368,1,0.413547314428083,0.136657305675608,25.8978241727347,8.52733729254558,37.6943312882922,0.7,0.590781877754404,
1,0.7,38.9473684210526,1,0.415009773657231,0.138119764904757,25.9908086069445,8.56510441452626,41.4045696131161,0.7,0.592871105224616,
1,0.7,42.6315789473684,1,0.416485291160854,0.13959528240838,26.0846299443572,8.60320878015896,45.115040347275,0.7,0.594978987372649,
1,0.7,46.3157894736842,1,0.417974043252506,0.141084034500032,26.179299612479,8.64165494348982,48.8257466289173,0.7,0.597105776075008,
1,0.7,50,1,0.41947620944573,0.142586200693256,26.274829249219,8.68044754123604,52.5366916531503,0.7,0.599251727779615,
