load_ratio,speed_ratio,T_amb_C,mode_op,E_total_kWh,E_loss_kWh,P_peak_kW,T_end_C,loss_ratio
0,0.7,25,0,0.0833333333333333,0.0833333333333333,5,26.4821431401307,1
0.3,0.7,25,0,0.181160046588348,0.0980930439626052,11.1885686290553,26.7448260305917,0.541471730715014
1,0.7,25,0,0.409540731292765,0.132650722540291,25.6431154204622,27.3598671436735,0.323901171249957
1.2,0.7,25,0,0.474822898639911,0.142554888136941,29.7767478160783,27.5361388281574,0.300227492282444
