load_ratio,speed_ratio,T_amb_C,mode_op,E_total_kWh,E_loss_kWh,P_peak_kW,T_end_C,loss_ratio
1,0.7,25,0,0.409540731292765,0.132650722540291,25.6431154204622,27.3598671436735,0.323901171249957
1,0.7,25,1,0.358037720827406,0.12484537278236,25.6321283648187,27.2208871343268,0.348693351342559
